大カテゴリー,中カテゴリー,メニュータイトル,データ参照先,タイルレイヤー名,データ種別,legendType,Tippecanoeオプション,fill,stroke,stroke-width,marker-color,marker-symbol,アイコン作成説明列,fill-pattern,title,minzoom,maxzoom,printzoom,ダウンロードコード,テストTippecannoeコード
リアルタイム防災情報,雨量・水位観測情報,河川水位計,StreamGauge,StreamGauge,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,アイコン,,,,,,,,,,,curl -X GET -o data.geojson 'StreamGauge',"tippecanoe -o ""output.mbtiles"" -l ""StreamGauge""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,雨量・水位観測情報,河川・海岸カメラ,CameraInformation,CameraInformation,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,アイコン,,,,river-monitoring-camera,新規作成（ヒアリング）,,,,,,curl -X GET -o data.geojson 'CameraInformation',"tippecanoe -o ""output.mbtiles"" -l ""CameraInformation""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,道路通行情報,道路規制,RestrictedTrafficAreaInformation,RestrictedTrafficAreaInformation,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,#ff0000,,,,,,,,,,,curl -X GET -o data.geojson 'RestrictedTrafficAreaInformation',"tippecanoe -o ""output.mbtiles"" -l ""RestrictedTrafficAreaInformation""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
リアルタイム防災情報,道路通行情報,地下道冠水状況,UnderpassInformation,UnderpassInformation,fiware,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,アイコン,,,,,,,,,,,curl -X GET -o data.geojson 'UnderpassInformation',"tippecanoe -o ""output.mbtiles"" -l ""UnderpassInformation""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
,,災害パトロール,Disasterreports,Disasterreports,fiware,,,,,,,,,,,,,,,
,,行政区域界,https://yaizu-smartcity.jp/行政区域界/data.geojson,行政区域界,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,#4169e1,#4169e1,,#4169e1,,,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/行政区域界/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""行政区域界""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,指定避難所,https://yaizu-smartcity.jp/%E9%81%BF%E9%9B%A3%E6%89%80%E4%B8%80%E8%A6%A7/data.geojson,指定避難所,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,evacuation-shelter,evacuation-shelter,,,,,,#REF!,"tippecanoe -o ""output.mbtiles"" -l ""指定避難所""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,指定緊急避難場所,https://yaizu-smartcity.jp/%E6%8C%87%E5%AE%9A%E7%B7%8A%E6%80%A5%E9%81%BF%E9%9B%A3%E5%A0%B4%E6%89%80%E4%B8%80%E8%A6%A7/data.geojson,指定緊急避難場所,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,#008000,,,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E9%81%BF%E9%9B%A3%E6%89%80%E4%B8%80%E8%A6%A7/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""指定緊急避難場所""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,指定津波避難ビル等,https://yaizu-smartcity.jp/%E6%8C%87%E5%AE%9A%E6%B4%A5%E6%B3%A2%E9%81%BF%E9%9B%A3%E3%83%93%E3%83%AB%E4%B8%80%E8%A6%A7/data.geojson,指定津波避難ビル等,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,tsunami-evacuation-building,新規作成（焼津データマップ参照。ビルに逃げる絵）,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E6%8C%87%E5%AE%9A%E6%B4%A5%E6%B3%A2%E9%81%BF%E9%9B%A3%E3%83%93%E3%83%AB%E4%B8%80%E8%A6%A7/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""指定津波避難ビル等""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,防火水そう・井戸,https://yaizu-smartcity.jp/%E6%B6%88%E9%98%B2%E6%B0%B4%E5%88%A9%E6%96%BD%E8%A8%AD%E4%B8%80%E8%A6%A7/data.geojson,防火水そう_井戸,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,fire-water-tank,新規作成（焼津データマップ参照。防火文字アイコン）,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E6%B6%88%E9%98%B2%E6%B0%B4%E5%88%A9%E6%96%BD%E8%A8%AD%E4%B8%80%E8%A6%A7/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""防火水そう_井戸""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,防災倉庫,https://yaizu-smartcity.jp/%E9%98%B2%E7%81%BD%E5%80%89%E5%BA%AB%E4%B8%80%E8%A6%A7/data.geojson,防災倉庫,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,emergency-storage-warehouse,新規作成（焼津データマップを参考に）,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E9%98%B2%E7%81%BD%E5%80%89%E5%BA%AB%E4%B8%80%E8%A6%A7/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""防災倉庫""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,水防倉庫,https://yaizu-smartcity.jp/%E6%B0%B4%E9%98%B2%E5%80%89%E5%BA%AB%E4%B8%80%E8%A6%A7/data.geojson,水防倉庫,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,flood-prevention-warehouse,新規作成（焼津データマップを参考に）,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E6%B0%B4%E9%98%B2%E5%80%89%E5%BA%AB%E4%B8%80%E8%A6%A7/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""水防倉庫""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,救護病院,https://yaizu-smartcity.jp/%E6%95%91%E8%AD%B7%E7%97%85%E9%99%A2%E4%B8%80%E8%A6%A7/data.geojson,救護病院,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,relief-station,新規作成（焼津データマップを参考に）,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E6%95%91%E8%AD%B7%E7%97%85%E9%99%A2%E4%B8%80%E8%A6%A7/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""救護病院""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,救護所,https://yaizu-smartcity.jp/%E6%95%91%E8%AD%B7%E6%89%80%E4%B8%80%E8%A6%A7/data.geojson,救護所,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,relief-hospital,新規作成（焼津データマップを参考に）,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E6%95%91%E8%AD%B7%E6%89%80%E4%B8%80%E8%A6%A7/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""救護所""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,防災用ヘリポート,https://yaizu-smartcity.jp/%E9%98%B2%E7%81%BD%E7%94%A8%E3%83%98%E3%83%AA%E3%83%9D%E3%83%BC%E3%83%88%E4%B8%80%E8%A6%A7/data.geojson,防災用ヘリポート,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,heliport,新規作成（焼津データマップを参考に）,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E9%98%B2%E7%81%BD%E7%94%A8%E3%83%98%E3%83%AA%E3%83%9D%E3%83%BC%E3%83%88%E4%B8%80%E8%A6%A7/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""防災用ヘリポート""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,同報無線子局,https://yaizu-smartcity.jp/%E5%90%8C%E5%A0%B1%E7%84%A1%E7%B7%9A%E5%AD%90%E5%B1%80%E4%B8%80%E8%A6%A7/data.geojson,同報無線子局,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,emergency-broadcast-substation,新規作成（焼津データマップを参考に）,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E5%90%8C%E5%A0%B1%E7%84%A1%E7%B7%9A%E5%AD%90%E5%B1%80%E4%B8%80%E8%A6%A7/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""同報無線子局""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,飲料水貯水槽,https://yaizu-smartcity.jp/%E9%A3%B2%E6%96%99%E6%B0%B4%E7%94%A8%E8%B2%AF%E6%B0%B4%E6%A7%BD%E4%B8%80%E8%A6%A7/data.geojson,飲料水貯水槽,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,safe-drinking-water-tank,新規作成（焼津データマップを参考に）,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E9%A3%B2%E6%96%99%E6%B0%B4%E7%94%A8%E8%B2%AF%E6%B0%B4%E6%A7%BD%E4%B8%80%E8%A6%A7/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""飲料水貯水槽""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災施設,土のうステーション,https://yaizu-smartcity.jp/%E5%9C%9F%E3%81%AE%E3%81%86%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3/data.geojson,土のうステーション,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,sandbag-station,新規作成（焼津データマップを参考に）,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E5%9C%9F%E3%81%AE%E3%81%86%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""土のうステーション""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,緊急輸送路,一次緊急輸送路,https://yaizu-smartcity.jp/%E7%B7%8A%E6%80%A5%E8%BC%B8%E9%80%81%E8%B7%AF_%E4%B8%80%E6%AC%A1%E7%B7%8A%E6%80%A5%E8%BC%B8%E9%80%81%E8%B7%AF/data.geojson,一次緊急輸送路,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,#ED1C24,,,,,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E7%B7%8A%E6%80%A5%E8%BC%B8%E9%80%81%E8%B7%AF_%E4%B8%80%E6%AC%A1%E7%B7%8A%E6%80%A5%E8%BC%B8%E9%80%81%E8%B7%AF/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""一次緊急輸送路""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,緊急輸送路,二次緊急輸送路,https://yaizu-smartcity.jp/%E7%B7%8A%E6%80%A5%E8%BC%B8%E9%80%81%E8%B7%AF_%E4%BA%8C%E6%AC%A1%E7%B7%8A%E6%80%A5%E8%BC%B8%E9%80%81%E8%B7%AF/data.geojson,二次緊急輸送路,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,#43F604,,,,,,,,,,,
防災,緊急輸送路,三次緊急輸送路,https://yaizu-smartcity.jp/%E7%B7%8A%E6%80%A5%E8%BC%B8%E9%80%81%E8%B7%AF_%E4%B8%89%E6%AC%A1%E8%BC%B8%E9%80%81%E8%B7%AF/data.geojson,三次緊急輸送路,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,#3841F8,,,,,,,,,,,
防災,防災関連施設,警察署・交番,https://yaizu-smartcity.jp/%E9%98%B2%E7%81%BD%E9%96%A2%E9%80%A3%E6%96%BD%E8%A8%AD_%E8%AD%A6%E5%AF%9F%E7%BD%B2_%E4%BA%A4%E7%95%AA/data.geojson,警察署・交番,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,closed-traffic,,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E9%98%B2%E7%81%BD%E9%96%A2%E9%80%A3%E6%96%BD%E8%A8%AD_%E8%AD%A6%E5%AF%9F%E7%BD%B2_%E4%BA%A4%E7%95%AA/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""警察署・交番""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,防災関連施設,消防施設,https://yaizu-smartcity.jp/%E9%98%B2%E7%81%BD%E9%96%A2%E9%80%A3%E6%96%BD%E8%A8%AD_%E6%B6%88%E9%98%B2%E6%96%BD%E8%A8%AD/data.geojson,消防施設,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,fire-station,,,,,,,,
防災,,自主防災会境界,https://yaizu-smartcity.jp/%E8%87%AA%E4%B8%BB%E9%98%B2%E7%81%BD%E4%BC%9A%E5%A2%83%E7%95%8C/data.geojson,自主防災会境界,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,"rgba(0,0,0,0)",#c71585,,"rgba(0,0,0,0)",,,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E8%87%AA%E4%B8%BB%E9%98%B2%E7%81%BD%E4%BC%9A%E5%A2%83%E7%95%8C/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""自主防災会境界""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,地震被害想定（南海トラフ基本）,震度予測図,https://tileserver.geolonia.com/yaizu-smartmap-shindobunpu/tiles/{z}/{x}/{y}.png?v=eWFpenUtc21hcnRtYXAtc2hpbmRvYnVucHV8YWRtaW4tdXBsb2Fkcy95YWl6dS1zbWFydG1hcC1zaGluZG9idW5wdS0wMUpGWTlGRzE1VDdCSlhRUTJQU1k4TlYzTiP8BmltEvFgZ7AbtdKg7djJVPCvEaVsVGPshOWpe6gKgg&key=bb4125ebc1ba442da48d3556f1fe13f5,震度予測図,datapng,震度分布,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,,,,,,,,curl -X GET -o data.geojson 'https://tileserver.geolonia.com/yaizu-smartmap-shindobunpu/tiles/{z}/{x}/{y}.png?v=eWFpenUtc21hcnRtYXAtc2hpbmRvYnVucHV8YWRtaW4tdXBsb2Fkcy95YWl6dS1zbWFydG1hcC1zaGluZG9idW5wdS0wMUpGWTlGRzE1VDdCSlhRUTJQU1k4TlYzTiP8BmltEvFgZ7AbtdKg7djJVPCvEaVsVGPshOWpe6gKgg&key=bb4125ebc1ba442da48d3556f1fe13f5',"tippecanoe -o ""output.mbtiles"" -l ""震度予測図""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,地震被害想定（南海トラフ基本）,液状化の発生予測図,https://tileserver.geolonia.com/yaizu-smartmap-ekijyouka/tiles/{z}/{x}/{y}.png?v=eWFpenUtc21hcnRtYXAtZWtpanlvdWthfGFkbWluLXVwbG9hZHMveWFpenUtc21hcnRtYXAtZWtpanlvdWthLTAxSkcwNTZOWFhRQk1UTkpGQUhUOFhNWkVaI3kGu2YpRPXXVDMk0_MykR8ek8rKaS9gxzJwC5M4jj0c&key=bb4125ebc1ba442da48d3556f1fe13f5,液状化の発生予測図,datapng,液状化,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,,,,,,,,curl -X GET -o data.geojson 'https://tileserver.geolonia.com/yaizu-smartmap-ekijyouka/tiles/{z}/{x}/{y}.png?v=eWFpenUtc21hcnRtYXAtZWtpanlvdWthfGFkbWluLXVwbG9hZHMveWFpenUtc21hcnRtYXAtZWtpanlvdWthLTAxSkcwNTZOWFhRQk1UTkpGQUhUOFhNWkVaI3kGu2YpRPXXVDMk0_MykR8ek8rKaS9gxzJwC5M4jj0c&key=bb4125ebc1ba442da48d3556f1fe13f5',"tippecanoe -o ""output.mbtiles"" -l ""液状化の発生予測図""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,津波浸水想定区域,静岡県第4次地震被害想定(レベル2重合せ図),https://tileserver.geolonia.com/yaizu-smartmap-4th-tsunami-shinsui/tiles/{z}/{x}/{y}.png?v=eWFpenUtc21hcnRtYXAtNHRoLXRzdW5hbWktc2hpbnN1aXxhZG1pbi11cGxvYWRzL3lhaXp1LXNtYXJ0bWFwLTR0aC10c3VuYW1pLXNoaW5zdWktMDFKRzFRRjFTQ1hLNUhaRzJZWkRGSk1XM1gjLfrbRh2tvRwxB46BnVq1eJAP4L5jhCAiR9miZwWJ3hk&key=bb4125ebc1ba442da48d3556f1fe13f5,静岡県第４次地震被害想定津波浸水（レベル２津波の重ね合わせ図）,datapng,静岡_津波_最大浸水深,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,,,,,,,,,,,,curl -X GET -o data.geojson 'https://tileserver.geolonia.com/yaizu-smartmap-4th-tsunami-shinsui/tiles/{z}/{x}/{y}.png?v=eWFpenUtc21hcnRtYXAtNHRoLXRzdW5hbWktc2hpbnN1aXxhZG1pbi11cGxvYWRzL3lhaXp1LXNtYXJ0bWFwLTR0aC10c3VuYW1pLXNoaW5zdWktMDFKRzFRRjFTQ1hLNUhaRzJZWkRGSk1XM1gjLfrbRh2tvRwxB46BnVq1eJAP4L5jhCAiR9miZwWJ3hk&key=bb4125ebc1ba442da48d3556f1fe13f5',"tippecanoe -o ""output.mbtiles"" -l ""静岡県第４次地震被害想定津波浸水（レベル２津波の重ね合わせ図）""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,土砂災害（特別）警戒区域,土砂災害警戒区域（土石流）,https://yaizu-smartcity.jp/%E5%9C%9F%E7%A0%82%E7%81%BD%E5%AE%B3-%E8%AD%A6%E6%88%92%E5%8C%BA%E5%9F%9F%E3%83%BB%E5%9C%9F%E7%9F%B3%E6%B5%81/data.geojson,土石流（警戒区域）,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,#E6C832,,,#E6C832,,,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E5%9C%9F%E7%A0%82%E7%81%BD%E5%AE%B3-%E8%AD%A6%E6%88%92%E5%8C%BA%E5%9F%9F%E3%83%BB%E5%9C%9F%E7%9F%B3%E6%B5%81/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""土石流（警戒区域）""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,土砂災害（特別）警戒区域,土砂災害特別警戒区域（土石流）,https://yaizu-smartcity.jp/%E5%9C%9F%E7%A0%82%E7%81%BD%E5%AE%B3-%E7%89%B9%E5%88%A5%E8%AD%A6%E6%88%92%E5%8C%BA%E5%9F%9F%E3%83%BB%E5%9C%9F%E7%9F%B3%E6%B5%81/data.geojson,土石流（特別警戒区域）,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,#A50321,,,#A50321,,,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E5%9C%9F%E7%A0%82%E7%81%BD%E5%AE%B3-%E7%89%B9%E5%88%A5%E8%AD%A6%E6%88%92%E5%8C%BA%E5%9F%9F%E3%83%BB%E5%9C%9F%E7%9F%B3%E6%B5%81/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""土石流（特別警戒区域）""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
防災,土砂災害（特別）警戒区域,土砂災害警戒区域（地すべり）,https://yaizu-smartcity.jp/%E5%9C%9F%E7%A0%82%E7%81%BD%E5%AE%B3-%E8%AD%A6%E6%88%92%E5%8C%BA%E5%9F%9F%E3%83%BB%E5%9C%B0%E3%81%99%E3%81%B9%E3%82%8A/data.geojson,土砂災害警戒区域（地すべり）,geojson,,--force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14,#FA9904,,,#FA9904,,,,,,,,curl -X GET -o data.geojson 'https://yaizu-smartcity.jp/%E5%9C%9F%E7%A0%82%E7%81%BD%E5%AE%B3-%E8%AD%A6%E6%88%92%E5%8C%BA%E5%9F%9F%E3%83%BB%E5%9C%B0%E3%81%99%E3%81%B9%E3%82%8A/data.geojson',"tippecanoe -o ""output.mbtiles"" -l ""土砂災害警戒区域（地すべり）""  data.geojson --force --no-feature-limit --no-tile-size-limit --no-tile-stats -r1 -Z 9 -z 14"
